ID,Unique,Ave H/W Ratio,Max H Panel,Max W Panel,Max Panel Area,Total No,Min W Panel,Min H Panel,Modules,V Seed,V Mod Divs,H Seed
d31190fb-4405-4527-b962-65bf6d93e7ed,3,0.68,6.67,7.45,49.7,27,5.88,2,3,582,2,261
d04d408d-ea73-4b0f-bf23-3ff113267fb6,7,1.28,6.67,6.33,33.85,52,1.65,1.67,2,507,5,483
9986cf83-0552-402f-8d74-b2c5d9d488f9,4,1.36,2.5,2.58,6.44,175,1.29,1.25,7,388,3,96
356edf24-6a31-404e-a9ac-10c95bae668a,7,3.89,6.67,2.75,18.33,120,0.45,1.43,5,29,5,443
c3830ee3-8c96-47a3-ae88-df968defd4d8,3,0.96,2.86,4.68,13.38,90,1.99,1.43,6,780,2,712
0d06a42d-ef32-4efc-9166-641e14e510c8,4,1.2,4,2.99,9.97,95,2.21,2,5,272,3,605
0ba30566-a59a-441c-a0bc-3ee3d0c9fcc5,6,0.61,5,5.94,23.75,54,3.87,1.25,2,923,4,31
9c6b7176-b975-44b8-8fed-0b2a85dea934,9,1.6,6.67,5.66,37.63,60,1.23,2,2,26,6,9
c64cd0fc-a768-4a48-87e1-e0dba98ea3cf,4,1.18,6.67,3.52,14.81,100,2.22,1.25,5,702,3,992
3c29b9aa-1f02-4bd6-8a4c-87caaf254e67,3,0.77,5,4.12,19.38,65,3.88,2.5,5,743,2,540
d9ab6801-ae1b-41cd-9c8c-caa8a2f8462a,7,1.25,6.67,3.49,15.36,93,2.27,1.43,3,782,5,961
58a5f3a2-572c-4ea4-98a6-00fedc743a99,4,1.65,6.67,3.91,15.64,75,2,2,5,566,3,353
2a7fee17-e0ac-476a-905e-565457cc9caa,4,1.05,5,8.12,23.19,51,2.56,2,3,693,3,779
02f236c5-c542-4481-9d4d-7d61386ec2bb,6,1.83,4,3.37,8.41,155,0.71,1.25,5,975,4,948
373db646-1744-42f4-8056-813f89e1f292,9,1.03,6.67,4.55,19.16,76,1.91,1.43,2,426,6,944
9bc4e885-2899-42bd-ac99-13ee14e4c585,4,2.86,5,4.15,11.86,140,0.66,1.43,7,102,3,644
7ba9b018-b761-4642-8282-98bb9309d21c,6,2.78,2.86,2.54,7.27,224,0.38,1.25,7,880,4,123
f353af90-a771-468a-8e9d-82eb3833a279,9,4.02,6.67,1.32,3.76,259,0.4,1.25,7,340,6,958
0abf048f-7653-476f-b7e1-ea767e79c4c2,4,1.63,4,4.2,12.01,100,0.96,1.43,5,519,3,310
bd6aa90e-6d82-42d3-8d9b-7e0708f725bd,7,2.46,6.67,2.64,17.57,100,0.77,1.25,4,601,5,866
97216536-9e45-4884-bd86-5bc5422c7046,9,2.59,4,1.33,5.33,264,0.66,1.25,6,402,6,873
cb258ec2-03d5-4498-b40d-2912217c95d3,4,0.77,6.67,8.88,54.59,30,2.93,2.86,2,491,3,761
45c0d405-7c4c-427e-badb-f75651800929,7,3.65,6.67,1.43,5.7,232,0.73,1.43,8,413,5,680
e28ad538-31a9-45e9-a411-702f279215b1,9,1.42,5,3,10.71,126,1.17,1.43,3,375,6,903
c7c1ecf6-bec7-40dc-991b-d29416d06f1e,6,3.86,5,2,9.7,168,0.34,1.67,7,794,4,88
dbfa4d65-6439-403c-9df9-259b92198668,9,3.7,6.67,2.22,8.53,170,0.36,1.43,5,679,6,110
bd402861-d9ca-4761-968a-9977a7b2cd9d,9,5.96,6.67,1.26,8.41,224,0.38,2.5,8,167,6,860
b09e0822-dd35-4b45-972c-d9e68f4bafcc,7,2.91,6.67,2.4,15.25,160,0.42,1.25,5,379,5,750
cb0e44ce-12d1-46af-a090-d2b16057667f,3,0.45,5,11.2,56,18,8.8,2.5,2,480,2,315
928eb988-5c87-4e7c-81dc-4197a397828f,9,5.3,6.67,1.84,12.25,224,0.43,1.25,7,868,6,607
f153fd39-11aa-49ba-80e2-5f8933f6d11d,4,1.75,5,3.35,8.38,114,1.09,2.5,6,403,3,172
b298f366-e81b-4573-9968-c8fe5a880e3c,3,0.92,5,3.4,16.36,78,3.27,2.5,6,232,2,789
7771a95c-3f9b-45ad-9b64-555a023bdb09,9,2.1,6.67,3.58,12.11,99,0.77,1.43,3,552,6,237
9d159693-fffa-4ada-9982-f9b5ebdf4c1e,6,2.11,6.67,3.13,14.13,115,0.92,1.25,5,526,4,975
7daeccda-2622-45b8-95c3-d088330a5747,6,2.98,5,1.79,8.95,200,0.63,1.25,8,591,4,470
6e02f148-ff1a-4bc3-b600-1327c411c4c1,9,2.17,5,2.35,9.42,144,1.06,1.25,4,675,6,623
f5205f08-36e0-4d08-a8a1-f12cbb1bf6a6,7,3.32,6.67,1.65,6.47,196,0.85,1.43,7,5,5,802
cb23d788-aef3-4453-b136-47a317c5e454,9,5.29,6.67,1.17,5.67,240,0.46,1.43,8,840,6,828
1ed27249-c81c-49ad-be41-84871efa796c,9,2.3,6.67,2.93,19.5,90,0.71,2,3,531,6,210
9843513e-0a0a-44eb-820e-1685bf5c7853,3,1.39,5,6.54,18.68,60,1.46,2.5,5,972,2,492
